Domain,Lipid,Median_Count,Scaled_Median_Count
Chain A Transmembrane Arm,CDL2,0.0,0.0
Chain A Transmembrane Arm,POPE,0.0,0.0
Chain A Transmembrane Arm,POPG,0.0,0.0
Chain B Transmembrane Arm,CDL2,0.0,0.0
Chain B Transmembrane Arm,POPE,0.0,0.0
Chain B Transmembrane Arm,POPG,0.0,0.0
Chain A Transmembrane Top,CDL2,11.5,1.9
Chain A Transmembrane Top,POPE,71.0,11.8
Chain A Transmembrane Top,POPG,24.0,4.0
Chain B Transmembrane Top,CDL2,20.0,3.3
Chain B Transmembrane Top,POPE,68.0,11.3
Chain B Transmembrane Top,POPG,17.0,2.8
Chain A CLD,CDL2,0.0,0.0
Chain A CLD,POPE,0.0,0.0
Chain A CLD,POPG,0.0,0.0
Chain B CLD,CDL2,0.0,0.0
Chain B CLD,POPE,0.0,0.0
Chain B CLD,POPG,0.0,0.0
Chain A Substrate Entrance Channel,CDL2,1.0,0.5
Chain A Substrate Entrance Channel,POPE,23.0,11.5
Chain A Substrate Entrance Channel,POPG,8.0,4.0
Chain B Substrate Entrance Channel,CDL2,1.0,0.5
Chain B Substrate Entrance Channel,POPE,17.0,8.5
Chain B Substrate Entrance Channel,POPG,8.0,4.0
